id;title;production;length;presentation;imdbLink
87;Ismeretlen ellenfél;1940;80;1940.12.05;https://www.imdb.com/title/tt0887916/?ref_=nv_sr_srsg_6_tt_4_nm_0_in_0_q_az%2520ismeretlen%2520ellenf%25C3%25A9l
88;Ítél a Balaton;1932;56;1933.03.02;https://www.imdb.com/title/tt1601244/?ref_=nv_sr_srsg_1_tt_2_nm_5_in_0_q_%25C3%25ADt%25C3%25A9l%2520a%2520ba
89;János vitéz;1938;78;1939.01.26;https://www.imdb.com/title/tt0030306/?ref_=nv_sr_srsg_1_tt_4_nm_0_in_0_q_j%25C3%25A1nos%2520vit%25C3%25A9z
90;Jelmezbál;1942;91;1942.08.05;https://www.imdb.com/title/tt0168010/?ref_=nv_sr_srsg_0_tt_5_nm_2_in_0_q_jelmezb%25C3%25A1l
91;Jómadár;1943;84;1943.08.09;https://www.imdb.com/title/tt0128287/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_j%25C3%25B3mad%25C3%25A1r
92;Kadétszerelem;1942;90;1942.08.08;https://www.imdb.com/title/tt0138549/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_kad%25C3%25A9tszerelem
93;Kalotaszegi madonna;1943;89;1944.01.26;https://www.imdb.com/title/tt0036063/?ref_=nv_sr_srsg_0_tt_2_nm_1_in_0_q_kalotaszegi
94;Karosszék;1939;79;1939.10.04;https://www.imdb.com/title/tt0031529/?ref_=nv_sr_srsg_0_tt_6_nm_2_in_0_q_karossz%25C3%25A9k
95;Katyi;1942;85;1942.12.17;https://www.imdb.com/title/tt0034934/?ref_=nv_sr_srsg_0_tt_2_nm_6_in_0_q_katyi
96;Kádár kontra Kerekes;1941;85;1942.04.20;https://www.imdb.com/title/tt0137898/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_k%25C3%25A1d%25C3%25A1r%2520kontra%2520
97;Kerek Ferkó;1943;78;1943.11.02;https://www.imdb.com/title/tt0789780/?ref_=nv_sr_srsg_0_tt_1_nm_1_in_0_q_kerek%2520ferk%25C3%25B3
98;Keresztúton;1942;89;1942.11.19;https://www.imdb.com/title/tt4637586/?ref_=nv_sr_srsg_0_tt_8_nm_0_in_0_q_kereszt%25C3%25BAton
99;A két Bajthay;1944;95;1944.07.20;https://www.imdb.com/title/tt0127635/?ref_=nv_sr_srsg_1_tt_4_nm_0_in_0_q_a%2520k%25C3%25A1t%2520bajthay
